Id,Name,SKU,Brand,Barcode,Category,Type,HSN,Weight,Weight Unit,Length,Width,Height,Measurement Unit,Country of origin,Warranty Days,Threshold,Tags,Parent Id,Price (Orderhive),Price (Bandcamp),Price (Discogs),Price (Sorry State Shopify Store),Price (Quality Control HQ USA),Price (Sorry State Distribution),Price (Vend),Price (Buy),Price (Wholesale),Price (Average Purchase),Onhand Quantity (DO NOT USE EITHER!),Outgoing Quantity (DO NOT USE EITHER!),Incoming Quantity (DO NOT USE EITHER!),Intransfer Quantity (DO NOT USE EITHER!),Stock Threshold (DO NOT USE EITHER!),Reason (DO NOT USE EITHER!),Onhand Quantity (DO NOT USE!),Outgoing Quantity (DO NOT USE!),Incoming Quantity (DO NOT USE!),Intransfer Quantity (DO NOT USE!),Stock Threshold (DO NOT USE!),Reason (DO NOT USE!),Onhand Quantity (Sorry State Records),Outgoing Quantity (Sorry State Records),Incoming Quantity (Sorry State Records),Intransfer Quantity (Sorry State Records),Stock Threshold (Sorry State Records),Reason (Sorry State Records),thumbnail,url,Total Quantity
173621932,"The Neighbourhood: I Love You. 12"" (used) (231111127)",231111127,used,,,SIMPLE,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,1,0,0,0,,,,,1
173621927,"Mumford & Sons: Sigh No More 12"" (used) (231111121)",231111121,used,,,SIMPLE,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,1,0,0,0,,,,,1
44802388,"Bright Eyes: I'm Wide Awake, It's Morning",190220939,"Saddle Creek",190220939,,SIMPLE,,,,,,,,,,0,"indie,00s,emo",,,,,26,,,26,16.2,,14.5,,,,,,,,,,,,,0,0,1,0,,,,,0
146787866,"A Tribe Called Quest: People's Instinctive Travels and the Paths of Rhythm",200825300,"Jive Records",200825300,,SIMPLE,,,,,,,,,,0,,,,,,32,,,32,21.27,,21.27,,,,,,,,,,,,,1,0,0,0,,,,,1
173621935,"DMX: Know What I Am 7"" (used) (231111131)",231111131,used,,,SIMPLE,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1,0,0,0,,,,,1
173543314,Avoid: Family Man cassette,231016902,Escape Cassettes,231016902,cassette,SIMPLE,,,LB,,,,in,US,,,,,6,,,6,,,6,4,,4,,,,,,,,,,,,,6,2,0,0,,,,,4
173543313,Corpse + 2 Veg: Live Demo ‘84 cassette,231016901,Escape Cassettes,231016901,cassette,SIMPLE,,,LB,,,,in,US,,,,,6,,,6,,,6,4,,4,,,,,,,,,,,,,3,0,0,0,,,,,3
143399346,"That Dog.: Totally Crushed Out!",200804905,,200804905,,SIMPLE,,0.7,LB,,,,,,,,"reissues,90s,melodic,indie",,,,,24,,,24,15,,15,,,,,,,,,,,,,1,0,0,0,,,,,1
173543249,"Sirkka: Viivyttely 7"" - clear vinyl",231016800,Sorry State Records,231016800,"new 7""",SIMPLE,870,270,GM,,,,in,US,,,"20s,hardcore,USA,finnish,hcpmf,germany,hardcore punk",173543248,,,,8,,,8,3.88,,3.88,,,,,,,,,,,,,229,2,0,0,,,,,227
173543312,Suffocating Madness: Promo cassette,231016900,self-released,231016900,cassette,SIMPLE,85232910,90,GM,,,,in,US,,,,,6,,,6,,,6,4,,4,,,,,,,,,,,,,22,7,9,0,,,,,15
173542743,"Chopin* - Zoltán Kocsis - The 19 Waltzes = Die 19 Walzer (CD, Album)",3292687,,,,SIMPLE,,,,,,,,,,,,,,,3.1,,,,,3.1,,,,,,,,,,,,,,,0,0,0,0,,,https://i.discogs.com/WC2Pednm_kWGyKdl9fnG9R5FiRVUIgK-OWSJ2X_FzHQ/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyOTI2/ODctMTMyNDMxNjA3/Ny5qcGVn.jpeg,https://api.discogs.com/releases/3292687,0
152759187,"Golden Earring:Â Grab It For A Second 12"" (used) (210522017)",210522017,used,,,SIMPLE,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,0,0,0,,,,,1
